Block,Lot,Address,Status,District
49,15,19 GLEN ALPIN RD,Non Contributing,NV
49,16,17 GLEN ALPIN RD,Non Contributing,NV
49,17,15 GLEN ALPIN RD,Non Contributing,NV
49,18,11 GLEN ALPIN RD,Non Contributing,NV
50,4.02,33 LINDSLEY RD,Contributing,IS
50,6,15 LINDSLEY RD,Contributing,IS
51,7,131 LEES HILL RD,Non Contributing,LO
51,7.01,121 LEES HILL RD,Contributing,LO
51,8,137 LEES HILL RD,Non Contributing,LO
51,9,141 LEES HILL RD,Non Contributing,LO
51,10,145 LEES HILL RD,Contributing,LO
51,12,157 LEES HILL RD,Contributing,LO
51,15,191 LEES HILL RD,Contributing,LO
51,16,197 LEES HILL RD,Contributing,LO
51,17,201 LEES HILL RD,Non Contributing,LO
51,18,205 LEES HILL RD,Contributing,LO
52,1,2 PLEASANT PLAINS RD,Contributing,IS
52,3,32 PLEASANT PLAINS RD,Contributing,IS
54,9,94 WOODLAND RD,Contributing,IS
54,12,122 PLEASANTVILLE RD,Contributing,IS
55,1,83 MEYERSVILLE RD,Contributing,IS
55,2,79 MEYERSVILLE RD,Contributing,IS
55,3,75 MEYERSVILLE RD,Contributing,IS
55,6.01,43 MEYERSVILLE RD,Contributing,IS
56,3,90 MEYERSVILLE RD,Contributing,IS
56,4,86 MEYERSVILLE RD,Contributing,IS
56,5.01,84 MEYERSVILLE RD,Contributing,IS
56,7,74 MEYERSVILLE RD,Contributing,IS
56,9,56 MEYERSVILLE RD,Contributing,IS
56,10,48 MEYERSVILLE RD,Contributing,IS
56,11,46 MEYERSVILLE RD,Contributing,IS
56,12.01,1 WOODLAND RD,Contributing,GV
56,13,3 WOODLAND RD,Contributing,GV
56,14,7 WOODLAND RD,Contributing,IS
56,15,17 WOODLAND RD,Contributing,IS
56,16,29 WOODLAND RD,Contributing,IS
56,17,95 WOODLAND RD,Contributing,IS
